id,title,slug,body,status,created_at,updated_at,synced_at
1,"Getting Started with Dioxus 0.7","getting-started-with-dioxus-0-7","E0.7 is a major update to the Dioxus framework. This guide will walk you through the new features and changes in version 0.7, including the new API surface, improved performance, and better developer experience.","published","2024-01-01 00:00:00","2024-01-01 00:00:00","2024-01-01 00:00:00",
2,"Building Modern Web Apps with Rust and Dioxus","building-modern-web-apps-with-rust-and-dioxus","Rust is becoming increasingly popular for web development. Learn how to build performant web applications using Dioxus, the Rust framework for cross-platform UI development.","published","2024-01-01 00:00:00","2024-01-01 00:00:00","2024-01-01 00:00:00",
3,"Understanding Signals in Dioxus","understanding-signals-in-dioxus","Signals are a core concept in Dioxus for managing reactive state. This article dives deep into how signals work, when to use them, and best practices for state management in your Dioxus applications.","published","2024-01-01 00:00:00","2024-01-01 00:00:00","2024-01-01 00:00:00",
4,"Introduction to Rust Ownership","introduction-to-rust-ownership","Ownership is one of Rust's most unique features. Learn how memory is managed without a garbage collector and how this leads to safer, more efficient code.","published","2024-01-01 00:00:00","2024-01-01 00:00:00","2024-01-01 00:00:00",
5,"Rust vs Python: A Comparison for Web Development","rust-vs-python-comparison-web-development","Both Rust and Python have their strengths. When should you choose one over the other for web development projects? We compare performance, ecosystem, and developer experience.","published","2024-01-01 00:00:00","2024-01-01 00:00:00","2024-01-01 00:00:00",
6,"Advanced Dioxus Patterns","advanced-dioxus-patterns","Take your Dioxus skills to the next level with advanced patterns for component composition, state management, and performance optimization.","draft","2024-01-01 00:00:00","2024-01-01 00:00:00","2024-01-01 00:00:00",
7,"Building a Full-Stack App with Dioxus and Supabase","building-fullstack-app-dioxus-supabase","Learn how to build a complete full-stack application using Dioxus for the frontend and Supabase for the backend. We'll cover authentication, database operations, and real-time features.","draft","2024-01-01 00:00:00","2024-01-01 00:00:00","2024-01-01 00:00:00",
8,"AI Ethics in Modern Software Development","ai-ethics-modern-software-development","As AI becomes more prevalent in software development, ethical considerations become crucial. Explore the key ethical issues developers should be aware of.","archived","2024-01-01 00:00:00","2024-01-01 00:00:00","2024-01-01 00:00:00",
9,"The Future of Web Development","the-future-of-web-development","Exploring emerging trends and technologies that will shape the future of web development, from WebAssembly to edge computing.","published","2024-01-01 00:00:00","2024-01-01 00:00:00","2024-01-01 00:00:00",
10,"Effective Rust Programming Patterns","effective-rust-programming-patterns","A collection of proven patterns and idioms for writing clean, efficient, and maintainable Rust code.","published","2024-01-01 00:00:00","2024-01-01 00:00:00","2024-01-01 00:00:00"
