id,content_id,tag_id,created_at
1,1,1,"2024-01-01 00:00:00"
2,1,7,"2024-01-01 00:00:00"
3,2,1,"2024-01-01 00:00:00"
4,2,7,"2024-01-01 00:00:00"
5,2,5,"2024-01-01 00:00:00"
6,3,1,"2024-01-01 00:00:00"
7,3,5,"2024-01-01 00:00:00"
8,3,7,"2024-01-01 00:00:00"
9,4,1,"2024-01-01 00:00:00"
10,4,5,"2024-01-01 00:00:00"
11,5,1,"2024-01-01 00:00:00"
12,5,7,"2024-01-01 00:00:00"
13,6,1,"2024-01-01 00:00:00"
14,6,5,"2024-01-01 00:00:00"
15,7,1,"2024-01-01 00:00:00"
16,7,7,"2024-01-01 00:00:00"
17,7,6,"2024-01-01 00:00:00"
18,8,1,"2024-01-01 00:00:00"
19,9,1,"2024-01-01 00:00:00"
20,9,7,"2024-01-01 00:00:00"
21,10,1,"2024-01-01 00:00:00"
22,10,5,"2024-01-01 00:00:00"
